Competizione;Livescore;Betting1X2;Vitibet;Forebet;Mybet;Zulubet;Pickforwin;Iambettor;Prosoccer
Argentina - Primera B Nacional;CA Brown de Adrogue;CA Brown de Adrogue;;Brown de Adrogué;Brown de Adrogue;CA Brown de Adrogue;Brown Adrogue;;BROWN DE ADROGUE
Argentina - Primera B Nacional;All Boys;All Boys;CA All Boys;All Boys;All Boys;CA All Boys;All Boys;;ALL BOYS
Argentina - Primera B Nacional;Gimnasia Jujuy;Gimnasia Jujuy;Gimnasia de Jujuy;Gimnasia Jujuy;Gimnasia Jujuy;Gimnasia Y Esgrima Jujuy;Gimnasia Jujuy;;GIMNASIA DJ
Argentina - Primera B Nacional;San Martin Tucuman;San Martin de Tucuman;;San Martín T.;San Martin de Tucuman;San Martin de Tucuman;San Martin T.;;SAN MARTIN
Argentina - Primera B Nacional;CSD Flandria;CSD Flandria;;Flandria;Flandria;CSD Flandria;Flandria;;FLANDRIA
Argentina - Primera B Nacional;Douglas Haig;CA Douglas Haig;CA Douglas Haig;CA Douglas Haig;Douglas Haig;CA Douglas Haig;Douglas Haig;;DOUGLAS HAIG
Argentina - Primera B Nacional;Juventud Unida Gualeguaychu;Juventud Unida G.;Juventud Unida;Juventud Unida (G);Juventud Unida Gualeguaychu;Juventud Unida Gualeguaychu;Cdju Gualeguaychu;;
Argentina - Primera B Nacional;Estudiantes San Luis;Sportivo Estudiantes;Estudiantes San Luis;CS Estudiantes (SL);Sportivo Estudiantes;Estudiantes San Luis;Sportivo Estudiantes;;ESTUDIANTES S.L.
Argentina - Primera B Nacional;Boca Unidos;Boca Unidos;Boca Unidos;Boca Unidos;Boca Unidos;Boca Unidos;Boca Unidos;;BOCA UNIDOS
Argentina - Primera B Nacional;Club Villa Dalmine;Villa Dalmine;Villa Dálmine;Villa Dálmine;Villa Dalmine;Club Villa Dalmine;Villa Dalmine;;VILLA DALMINE
Argentina - Primera B Nacional;Crucero Del Norte;Crucero Del Norte;Crucero del Norte;Crucero del Norte;Crucero del Norte;Crucero Del Norte;Crucero Del Norte;;CRUCERO DEL NORTE
Argentina - Primera B Nacional;Club Atletico Parana;CA Parana;Atletico Parana;Atlético Paraná;Atletico Parana;Club Atletico Parana;Atletico Parana;;ATLETICO PARANA
Cina - Super League;Guangzhou R&F FC;Guangzhou R&F;Guangzhou R&F;Guangzhou R&F;Guangzhou R&F F.C.;Guangzhou R&F;Guangzhou Randf;;GUANGZHOU FULI
Cina - Super League;Shanghai SIPG;Shanghai SIPG;Shanghai SIPG;Shanghai SIPG;Shanghai SIPG FC;Shanghai SIPG;Shanghai Sipg;;SHANGHAI SIPG
Cina - Super League;Shandong Luneng;Shandong Luneng;Shandong Luneng;Shandong Luneng;Shandong Luneng;Shandong Luneng Taishan FC;Shandong Luneng;;SHANDONG
Cina - Super League;HEBEI CHINA FORTUNE FC;Hebei CFFC;Hebei China Fortune;Hebei CFFC;Hebei CFFC;Hebei China Fortune;Hebei;;HEBEI FORTUNE
Cina - Super League;Chongqing Lifan;Chongqing Lifan;Chongqing Lifan;Chongqing Lifan;Chongqing Lifan;;Chongqing Lifan;;CHONGQING LIFAN
Cina - Super League;Guangzhou Evergrande;Guangzhou Evergrande;Guangzhou Evergrande;Guangzhou Evergrande;Guangzhou Evergrande;Guangzhou Evergrande;Guangzhou Evergrande;;GUANGZHOU EVER.
Cina - Super League;Guoan FC;Beijing Guoan;Beijing Guoan;Beijing Guoan;Beijing Guoan;Beijing Guoan;Beijing Guoan;;BEIJING
Cina - Super League;Tianjin Quanjian;Tianjin Quanjian;;Tianjin Quanjian;Tianjin Quanjian;Tianjin Quanjian;Tianjin Quanjian;;TIANJIN QUANJIAN
Cina - Super League;Liaoning Whowin FC;Liaoning Hongyun;Liaoning Hongyun;Liaoning Hongyun;Liaoning Hongyun;Liaoning Whowin;Liaoning;;LIAO NING
Cina - Super League;Tianjin Teda;Tianjin Teda;Tianjin Teda;Tianjin Teda;Tianjin Teda;Tianjin TEDA;Tianjin Teda;;TIANJIN TEDA
Cina - Super League;Shanghai Shenhua;Shanghai Shenhua;Shanghai Shenhua;Shanghai Shenhua;Shanghai Shenhua;FC Shanghai Shenhua;Shanghai Shenhua;;SHANGHAI SHENHUA
Cina - Super League;Guizhou Zhicheng;Guizhou Hengfeng Zhicheng;;Guizhou Zhicheng;Guizhou Hengfeng Zhicheng;Guizhou Hengfeng Zhicheng;Guizhou Zhicheng;;GUIZHOU HFZC
Cina - Super League;Henan;Henan Jianye;Henan Jianye;Henan Construction;Henan Jianye;FC Henan Jianye;Henan Jianye;;HENAN JIANYE
Cina - Super League;Yanbian;Yanbian Fude FC;Yanbian Funde;Yanbian Fude;Yanbian;Yanbian Funde;Yanbian Funde;;YANBIAN FUNDE
Cina - Super League;Jiangsu Guoxin-Sainty FC;Jiangsu Suning FC;Jiangsu Sainty;Jiangsu Suning;Jiangsu Suning FC;Jiangsu Suning;Jiangsu Suning;;JIANGSU
Cina - Super League;Changchun Yatai;Changchun Yatai;Changchun Yatai;Changchun YaTai;Changchun Yatai;FC Changchun Yatai;Changchun Yatai;;CHANGCHUN YATAI
Danimarca - Superligaen;Copenaghen;FC Copenhagen;FC Kobenhavn;FC København;FC Koebenhavn;FC Copenhagen;København;;FC KOPENHAGEN
Danimarca - Superligaen;Brondby;Brondby;Brondby IF;Brøndby IF;Broendby IF;Bröndby IF;Brøndby;;BRONDBY
Danimarca - Superligaen;Lyngby;Lyngby;Lyngby BK;Lyngby BK;Lyngby;Lyngby BK;Lyngby;;LYNGBY
Danimarca - Superligaen;Midtjylland;Midtjylland;FC Midtjylland;FC Midtjylland;FC Midtjylland;FC Midtjylland;Midtjylland;;MIDTJYLLAND
Danimarca - Superligaen;Nordsjalland;FC Nordsjaelland;FC Nordsjaeland;FC Nordsjælland;FC Nordsjaelland;FC Nordsjalland;Nordsjælland;;NORDSJAELLAND
Danimarca - Superligaen;Sonderjyske;Sonderjyske;SonderjyskE Haderslev;SønderjyskE;SoenderjyskE;Sonderjyske;Sønderjyske;;SONDERJYSKE
Danimarca - Superligaen;Randers;Randers FC;Randers FC;Randers FC;Randers FC;Randers FC;Randers;;RANDERS
Danimarca - Superligaen;Odense;Odense BK;Odense Boldklub;Odense BK;OB;Odense BK;Ob;;ODENSE
Danimarca - Superligaen;Horsens;AC Horsens;AC Horsens;AC Horsens;AC Horsens;AC Horsens;Horsens;;HORSENS
Danimarca - Superligaen;Esbjerg;Esbjerg;Esbjerg FB;Esbjerg fB;Esbjerg fB;Esbjerg FB;Esbjerg;;ESBJERG
Danimarca - Superligaen;Aalborg;AaB;AaB Aalborg BK;AaB Aalborg;AaB;Aalborg BK;Aab;;AALBORG
Danimarca - Superligaen;Silkeborg;Silkeborg IF;Silkeborg IF;Silkeborg IF;Silkeborg;Silkeborg IF;Silkeborg;;SILKEBORG
Danimarca - Superligaen;Viborg;Viborg;Viborg FF;Viborg FF;Viborg;Viborg FF;Viborg;;VIBORG
Danimarca - Superligaen;Aarhus;AGF Aarhus;AGF Aarhus;AGF Aarhus;AGF;AGF Aarhus;Agf;;AGF AARHUS
Danimarca - 1st Division;Hobro IK;Hobro IK;Hobro IK;Hobro IK;Hobro;Hobro IK;Hobro;;
Danimarca - 1st Division;Skive IK;Skive;Skive IK;Skive IK;Skive;Skive IK;Skive;;
Danimarca - 1st Division;FC Helsingor;FC Helsingor;FC Helsingor;FC Helsingor;FC Helsingoer;FC Helsingor;Fc Helsingør;;
Danimarca - 1st Division;Vendsyssel FF;Vendsyssel FF;Vendsyssel FF;Vendsyssel FF;Vendsyssel FF;Vendsyssel FF;Vendsyssel;;
Danimarca - 1st Division;FC Roskilde;FC Roskilde;FC Roskilde;FC Roskilde;FC Roskilde;FC Roskilde;Roskilde;;
Danimarca - 1st Division;Køge;HB Køge;Koge BK;HB Køge;HB Koege;HB Köge;Koge;;
Danimarca - 1st Division;Vejle BK;Vejle;Vejle BK;Vejle BK;Vejle Boldklub;Vejle BK;Vejle;;
Danimarca - 1st Division;FC Fredericia;FC Fredericia;FC Fredericia;FC Fredericia;Fredericia;FC Fredericia;Fredericia;;
Danimarca - 1st Division;BK Fremad Amager;Fremad Amager;BK Fremad Amager;Fremad Amager;Fremad Amager;BK Fremad Amager;Fremad Amager;;
Danimarca - 1st Division;Nykobing FC;Nykobing;Nykobing FC;Nykøbing FC;Nykoebing FC;Nykobing FC;Nykøbing;;
Danimarca - 1st Division;Næstved;Naestved IF;Naestved BK;Næstved BK;Naestved;Naestved BK;Næstved;;
Danimarca - 1st Division;AKADEMISK BOLDKLUB GLADSAXE;AB Copenhagen;AB Kobenhavn;AB Gladsaxe;AB;AB Gladsaxe;Ab Copenhagen;;
Norvegia - Tippeligaen;Rosenborg;Rosenborg;Rosenborg BK Trondheim;Rosenborg BK;Rosenborg;Rosenborg BK;Rosenborg;;ROSENBORG
Norvegia - Tippeligaen;Molde;Molde;Molde FK;Molde FK;Molde;Molde FK;Molde;;MOLDE
Norvegia - Tippeligaen;Sarpsborg 08;Sarpsborg;Sparta Sarpsborg;Sarpsborg 08;Sarpsborg 08;Sarpsborg;Sarpsborg 08;;SPARTA SARPSBORG
Norvegia - Tippeligaen;Stabæk;Stabaek;Stabaek IF;Stabaek;Stabaek;Stabaek Fotball;Stabæk;;STABAEK
Norvegia - Tippeligaen;Stromsgodset;Stromsgodset;Stromsgodset IF;Stromsgodset IF;Stroemsgodset;Stromsgodset;Strømsgodset;;STROMSGODSET
Norvegia - Tippeligaen;Brann;SK Brann;SK Brann Bergen;SK Brann;Brann;SK Brann;Brann;;BRANN
Norvegia - Tippeligaen;Tromso;Tromso;Tromsö IL;Tromso IL;Tromsoe;Tromso IL;Tromsø;;TROMSO
Norvegia - Tippeligaen;Haugesund;Haugesund;FK Haugesund;FK Haugesund;FK Haugesund;Haugesund FK;Haugesund;;HAUGESUND
Norvegia - Tippeligaen;Sandefjord;Sandefjord;Sandefjord Fotball;Sandefjord;Sandefjord;Sandefjord Fotball;Sandefjord;;SANDEFJORD
Norvegia - Tippeligaen;Odds BK;Odd BK;Odd Grenland BK;Odd BK;Odds Ballklubb;ODD Grenland;Odd;;ODD GRENLAND
Norvegia - Tippeligaen;Aalesunds;Aalesund;Aalesund FK;Aalesund FK;Aalesund;Aalesunds FK;Aalesund;;AALESUND
Norvegia - Tippeligaen;Sogndal;Sogndal;Sogndal IS;Sogndal;Sogndal;Sogndal IL;Sogndal;;SOGNDAL
Norvegia - Tippeligaen;Lillestrom;Lillestrom;Lilleström SK;Lillestrom SK;Lillestroem;Lillestrom SK;Lillestrøm;;LILLESTROM
Norvegia - Tippeligaen;Kristiansund;Kristiansund BK;Kristiansund BK;Kristiansund BK;Kristiansund BK;Kristiansund BK;Kristiansund;;KRISTIANSUND
Norvegia - Tippeligaen;Valerenga;Valerenga;Valerenga IF Oslo;Valerenga;Vaalerenga;Valerenga IF;Vålerenga;;VALERENGA
Norvegia - Tippeligaen;Viking FK;Viking FK;FK Viking Stavanger;Viking FK;Viking;Viking FK;Viking;;VIKING
Norvegia - 1st Division;Bodø Glimt;Bodo/Glimt;FK Bodo/Glimt;FK Bodo/Glimt;Bodoe/Glimt;Bodo/Glimt;Bodø / Glimt;;BODO
Norvegia - 1st Division;Start;IK Start;IK Start Kristiansand;IK Start;Start;IK Start;Start;;START
Norvegia - 1st Division;Ullensaker/Kisa;Ullensaker/Kisa;Ullensaker/Kisa;Ullensaker/Kisa;Ull/Kisa;;Ullensaker / Kisa;;ULLENSAKER
Norvegia - 1st Division;Ranheim;Ranheim;Ranheim Fotball;Ranheim Fotball;Ranheim;Ranheim IL;Ranheim;;RANHEIM
Norvegia - 1st Division;Mjondalen;Mjondalen;Mjondalen IF;Mjondalen IF;Mjoendalen;Mjondalen;Mjøndalen;;MJONDALEN
Norvegia - 1st Division;Sandnes;Sandnes Ulf;Sandnes Ulf;Sandnes Ulf;Sandnes;;Sandnes Ulf;;SANDNES
Norvegia - 1st Division;Tromsdalen;Tromsdalen;TUIL Tromsdalen;Tromsdalen UIL;Tromsdalen;;Tromsdalen;;TROMSDALEN UIL
Norvegia - 1st Division;Aasane Fotball;Asane;Asane Fotball;Asane Fotball;Aasane;;Åsane;;ASANE
Norvegia - 1st Division;Strömmen;Strommen;Strommen IF;Strommen IF;Stroemmen;;Strømmen;;STROMMEN
Norvegia - 1st Division;Arendal FK;Arendal;Arendal Fotball;FK Arendal;Arendal Fotball;;Arendal;;ARENDAL
Norvegia - 1st Division;Fredrikstad;Fredrikstad;Fredrikstad FK;Fredrikstad FK;Fredrikstad;Fredrikstad FK;Fredrikstad;;FREDRIKSTAD
Norvegia - 1st Division;Levanger;Levanger;Levanger FK;Levanger FK;Levanger;;Levanger;;LEVANGER FK
Norvegia - 1st Division;Floro;Florø;Floro SK;Floro SK;Floroe;Florö;Florø;;
Norvegia - 1st Division;Kongsvinger;Kongsvinger;Kongsvinger IL;Kongsvinger;Kongsvinger;Kongsvinger IL;Kongsvinger;;KIL TOPPFOTBALL
Norvegia - 1st Division;Jerv FK;FK Jerv;FK Jerv;FK Jerv;Jerv;Jerv FK;Jerv;;JERV GRIMSTAD
Norvegia - 1st Division;Elverum;Elverum;Elverum IL;Elverum Fotball;Elverum;Elverum;Elverum;;ELVERUM
Svezia - Allsvenskan;Malmo FF;Malmo FF;Malmo FF;Malmö FF;Malmoe FF;Malmö FF;Malmö Ff;;MALMO FF
Svezia - Allsvenskan;Jonkopings Sodra;Jonkopings Sodra;Jönköpings Södra IF;Jönköpings Södra;Joenkoepings Soedra;Jonkopings Sodra;Jönköpings Södra;;JONKOPINGS SODRA
Svezia - Allsvenskan;Orebro;Orebro SK;?rebro SK;Örebro SK;Oerebro;Örebro SK;Orebro;;OREBRO
Svezia - Allsvenskan;Elfsborg;Elfsborg;IF Elfsborg;IF Elfsborg;Elfsborg;IF Elfsborg;Elfsborg;;ELFSBORG
Svezia - Allsvenskan;IK Sirius FK;Sirius;IK Sirius Uppsala;Sirius IK;Sirius;IK Sirius FK;Sirius;;SIRIUS
Svezia - Allsvenskan;IFK Norrköping;IFK Norrkoping;IFK Norrköping;Norrköping;IFK Norrkoeping;IFK Norrköping;Norrköping;;NORRKOPING
Svezia - Allsvenskan;IFK Goteborg;IFK Goteborg;IFK Göteborg;IFK Göteborg;IFK Gothenburg;IFK Göteborg;Ifk Göteborg;;GOTEBORG
Svezia - Allsvenskan;Hammarby;Hammarby;Hammarby IF;Hammarby IF;Hammarby;Hammarby IF;Hammarby;;HAMMARBY
Svezia - Allsvenskan;BK Hacken;BK Hacken;BK Häcken;BK Häcken;Haecken;BK Häcken;Hacken;;HACKEN
Svezia - Allsvenskan;Djurgarden;Djurgarden;Djurgärdens IF FF;Djurgårdens IF;Djurgaarden;Djurgardens IF;Djurgården;;DJURGARDEN
Svezia - Allsvenskan;AIK;AIK;AIK Stockholm;AIK Fotboll;AIK;AIK IF;Aik;;AIK
Svezia - Allsvenskan;Sundsvall;GIF Sundsvall;GIF Sundsvall;GIF Sundsvall;GIF Sundsvall;GIF Sundsvall;Gif Sundsvall;;SUNDSVALL
Svezia - Allsvenskan;Halmstads;Halmstad;Halmstads BK;Halmstads BK;Halmstads BK;Halmstads BK;Halmstad;;HALMSTAD
Svezia - Allsvenskan;Ostersunds FK;Ostersunds FK;?stersund FK;Östersunds FK;Oestersunds FK;Östersunds FK;Östersunds Fk;;OSTERSUND
Svezia - Allsvenskan;AFC Eskilstuna;AFC Eskilstuna;Athletic FC United;AFC Eskilstuna;AFC Eskilstuna;Athletic United;Afc United;;ESKILSTUNA
Svezia - Allsvenskan;Kalmar FF;Kalmar FF;Kalmar FF;Kalmar FF;Kalmar FF;Kalmar FF;Kalmar;;KALMAR
Svezia - Superettan;Brommapojkarna;Brommapojkarna;IF Brommapojkarna;Brommapojkarna;Brommapojkarna;IF Brommapojkarna;Brommapojkarna;;BROMMAPOJKARNA
Svezia - Superettan;IFK Varnamo;IFK Varnamo;IFK Värnamo;IFK Värnamo;IFK Vaernamo;IFK Värnamo;Varnamo;;VARNAMO
Svezia - Superettan;Osters;Osters IF;?sters Växjö IF;Östers IF;Oesters IF;Östers IF;Osters;;OSTER
Svezia - Superettan;Dalkurd FF;Dalkurd FF;Dalkurd FF;Dalkurd FF;Dalkurd FF;;Dalkurd;;DALKURD
Svezia - Superettan;Degerfors IF;Degerfors;Degerfors IF;Degerfors IF;Degerfors;Degerfors IF;Degerfors;;DEGERFORS
Svezia - Superettan;Helsingborg;Helsingborg;Helsingborgs IF;Helsingborg;Helsingborg;Helsingborgs IF;Helsingborg;;HELSINGBORG
Svezia - Superettan;Örgryte;Orgryte IS;?rgryte IS;Örgryte IS;Oergryte FF;Örgryte IS;Örgryte;;ORGRYTE
Svezia - Superettan;Varbergs BoIS;Varbergs BoIS FC;Varbergs BoIS;Varbergs BoIS;Varbergs BoIS FC;Varbergs Bois;Varbergs;;VARBERGS
Svezia - Superettan;Gefle;Gefle IF;Gefle IF;Gefle IF;Gefle;Gefle IF;Gefle;;GEFLE
Svezia - Superettan;IK Frej;IK Frej;IK Frej Täby;IK Frej;IK Frej Taeby;IK Frej;Frej;;IK FREJ TABY
Svezia - Superettan;Syrianska FC;Syrianska FC;Syrianska Sodertalje;Syrianska FC;Syrianska;Syrianska FC;Syrianska;;SYRIANSKA
Svezia - Superettan;Falkenbergs FF;Falkenbergs FF;Falkenbergs FF;Falkenbergs FF;Falkenbergs FF;Falkenbergs FF;Falkenberg;;FALKENBERG
Svezia - Superettan;Trelleborgs;Trelleborgs FF;Trelleborgs FF;FC Trelleborg;Trelleborgs FF;Trelleborgs FF;Trelleborg Ff;;TRELLEBORG
Svezia - Superettan;GAIS Goteborg;GAIS;GAIS Göteborg;GAIS;GAIS;Gais;Gais;;GAIS GOTEBO
Svezia - Superettan;Norrby IF;Norrby IF;Norrby IF;Norrby IF;Norrby;Norrby IF;Norrby;;NORRBY
Svezia - Superettan;Aatvidaberg;Atvidabergs FF;Ätvidabergs FF;Åtvidabergs FF;Aatvidaberg;Aatvidaberg FF;Åtvidaberg;;ATVIDABERG
Finlandia - Veikkausliiga;HJK Helsinki;HJK Helsinki;HJK Helsinki;HJK Helsinki;HJK;HJK Helsinki;Hjk;;HJK HELSINKI
Finlandia - Veikkausliiga;IFK Mariehamn;IFK Mariehamn;IFK Mariehamn;IFK Mariehamn;IFK Mariehamn;IFK Mariehamn;Mariehamn;;MARIEHAMN
Finlandia - Veikkausliiga;Inter Turku;FC Inter;FC Inter Turku;Inter Turku;FC Inter;FC Inter Turku;Inter Turku;;INTER TURKU
Finlandia - Veikkausliiga;PS Kemi Kings;PS Kemi;PS Kemi;PS Kemi;PS Kemi;PS Kemi Kings;Ps Kemi;;KEMI KINGS
Finlandia - Veikkausliiga;Seinajoen JK;SJK;Seinajoen;Seinajoen JK;SJK;Seinajoen JK;Sjk;;
Finlandia - Veikkausliiga;KuPS;KuPS Kuopio;KuPS Kuopio;KuPS Kuopio;KuPS;Kuopio PS;Kups;;KUOPIO
Finlandia - Veikkausliiga;FC Ilves;FC Ilves;Ilves Tampere;Ilves Tampere;Ilves;FC Ilves;Ilves;;ILVES TAMPERE
Finlandia - Veikkausliiga;Vaasa PS;VPS Vaasa;VPS Vaasa;VPS Vaasa;VPS;Vaasa PS;Vps;;VAASA
Finlandia - Veikkausliiga;Rovaniemi Palloseura;RoPS;RoPS Rovaniemi;RoPS Rovaniemi;RoPS;Rovaniemi Palloseura;Rops;;ROVANIEMI ROPS
Finlandia - Veikkausliiga;Lahti;Lahti;FC Lahti;FC Lahti;FC Lahti;FC Lahti;Lahti;;LAHTI
Finlandia - Veikkausliiga;HIFK;HIFK;HIFK Helsinki;HIFK Helsinki;HIFK;Hifk;Hifk;;HELSINKI IFK
Finlandia - Veikkausliiga;JJK Jyväskylä;JJK;JJK Jyväskylä;JJK Jyväskylä;JJK;JJK Jyvaskyla;Jjk;;JJK JYVASKYLA
Finlandia - Ykkonen;AC Oulu;AC Oulu;AC Oulu;AC Oulu;AC Oulu;;Oulu;;
Finlandia - Ykkonen;EIF;EIF;Ekenäs IF;EIF Ekenas;EIF;EIF;Ekenäs If;;
Finlandia - Ykkonen;Haka Valkeakoski;FC Haka;FC Haka Valkeakoski;FC Haka;Haka;FC Haka Valkeakoski;Haka;;
Finlandia - Ykkonen;Honka;FC Honka;FC Honka;FC Honka Espoo;Honka;FC Honka;Honka;;
Finlandia - Ykkonen;FF Jaro;FF Jaro;FF Jaro Pietarsaari;FF Jaro;FF Jaro;;Jaro;;
Finlandia - Ykkonen;Grankulla IFK;GrIFK;Grankulla IFK;Grankulla IFK;GrIFK Grankulla;;Grifk;;
Finlandia - Ykkonen;IF Gnistan;IF Gnistan;IF Gnistan;IF Gnistan;IF Gnistan;IF Gnistan;Gnistan;;
Finlandia - Ykkonen;KPV Kokkola;KPV;KPV Kokkola;KPV Kokkola;KPV;;Kpv;;
Finlandia - Ykkonen;OPS;OPS-JP;OPS Oulu;OPS Oulu;OPS;;Ops;;
Finlandia - Ykkonen;TPS Turku;TPS;FC TPS Turku;TPS Turku;TPS;;Tps;;
Svizzera - Super League;Basilea;Basel;FC Basel 1893;FC Basel;Basel;FC Basel;Basel;;BASEL
Svizzera - Super League;Young Boys Berna;Young Boys;BSC Young Boys Bern;BSC Young Boys;Young Boys;Young Boys Bern;Young Boys;;YOUNG BOYS
Svizzera - Super League;Sion;FC Sion;FC Sion;FC Sion;Sion;FC Sion;Sion;;SION
Svizzera - Super League;Lucerna;Lucerne;FC Luzern;FC Luzern;Luzern;FC Luzern;Luzern;;LUZERN
Svizzera - Super League;Lugano;Lugano;AC Lugano;FC Lugano;Lugano;FC Lugano;Lugano;;LUGANO
Svizzera - Super League;Grasshoppers;Grasshoppers;Grasshoppers Zürich;Grasshoppers;Grasshopper;Grasshopper Club Zürich;Grasshopper;;GRASSHOPPERS
Svizzera - Super League;San Gallo;St Gallen;FC St. Gallen;St. Gallen;St. Gallen;FC St. Gallen;St. Gallen;;ST GALLEN
Svizzera - Super League;Losanna;Lausanne Sports;FC Lausanne Sport;Lausanne-Sport;Lausanne;FC Lausanne-Sport;Lausanne Sport;;LAUSANNE
Svizzera - Super League;Thun;FC Thun;FC Thun;FC Thun;Thun;FC Thun;Thun;;THUN
Svizzera - Super League;Vaduz;FC Vaduz;FC Vaduz;FC Vaduz;FC Vaduz;FC Vaduz;Vaduz;;VADUZ
Svizzera - Challenge League;Zurigo;FC Zurich;FC Zürich;FC Zürich;FC Zuerich;FC Zürich;Zurich;;ZURICH
Svizzera - Challenge League;Neuchatel Xamax;Neuchatel Xamax;Neuchâtel Xamax;Neuchâtel Xamax;Xamax;Neuchatel Xamax FC;Neuchâtel Xamax;;XAMAX
Svizzera - Challenge League;Servette;Servette;FC Servette Geneve;Servette FC;Servette;Servette Geneva FC;Servette;;SERVETTE
Svizzera - Challenge League;Sciaffusa;FC Schaffhausen;FC Schaffhausen;FC Schaffhausen;Schaffhausen;FC Schaffhausen;Fc Schaffhausen;;SCHAFFHAUSEN
Svizzera - Challenge League;Aarau;Aarau;FC Aarau;FC Aarau;Aarau;FC Aarau;Aarau;;AARAU
Svizzera - Challenge League;Winterthur;Winterthur;FC Winterthur;FC Winterthur;Winterthur;FC Winterthur;Winterthur;;WINTERTHUR
Svizzera - Challenge League;Wohlen;Wohlen FC;FC Wohlen;FC Wohlen;Wohlen;FC Wohlen;Wohlen;;WOHLEN
Svizzera - Challenge League;FC Le Mont Ls;Le Mont LS;FC Le Mont Lausanne;FC Le Mont;Le Mont LS;FC Le Mont LS;Le Mont;;
Svizzera - Challenge League;FC Chiasso;FC Chiasso;FC Chiasso;FC Chiasso;Chiasso;FC Chiasso;Chiasso;;CHIASSO
Svizzera - Challenge League;Wil;Wil 1900;FC Wil 1900;FC Wil;Wil;FC Wil 1900;Wil;;WIL
Ungheria - NBI;Budapest Honved;Budapest Honved;Budapest Honvéd;Budapest Honved;Budapest Honved;Budapest Honved FC;Honvéd;;HONVED
Ungheria - NBI;Videoton;Videoton FC;Videoton Fehérvár;Videoton FC;Videoton FC;Videoton FC;Videoton;;FEHERVAR
Ungheria - NBI;Budapest Vasas;Vasas SC;Vasas SC Budapest;Vasas SC;Vasas Budapest;SC Vasas Budapest;Vasas;;VASAS
Ungheria - NBI;Ferencvarosi;Ferencvarosi TC;Ferencvárosi TC Budapest;Ferencvaros TC;Ferencvaros;Ferencvarosi TC;Ferencváros;;FERENCVAROSI
Ungheria - NBI;Haladas;Szombathelyi Haladas;Szombathelyi Haladás;Haladas;Haladas;Szombathelyi Haladas FC;Szombathelyi Haladás;;HALADAS
Ungheria - NBI;Ujpest FC;Ujpest;Újpest FC;Ujpest FC;Ujpest;Ujpest FC;Újpest;;UJPEST
Ungheria - NBI;Paksi FC;Paksi Se;Paks FC;Paksi FC;Paksi SE;Paksi FC;Paksi Se;;PAKSI
Ungheria - NBI;Mezokovesd Zsory;Mezokovesd Zsory;Mezokövesdi Zsóry;Mezokovesdi SE;Mezokovesd SE;Mezokovesd Zsory;Mez?kövesd-zsóry;;MEZOKOVESD
Ungheria - NBI;Debrecen;Debrecen;Debreceni VSC;Debrecen VSC;Debrecen;Debreceni VSC;Debrecen;;DEBRECENI
Ungheria - NBI;MTK Budapest FC;MTK Budapest;MTK Hungária;MTK Budapest;MTK Budapest;MTK Budapest FC;Mtk;;MTK
Ungheria - NBI;Diosgyori VTK;Diosgyori VTK;Diósgy?ri VTK;Diosgyori VTK;Diosgyori VTK;Diosgyori Vtk;Diósgy?r;;DIOSGYOR
Ungheria - NBI;Gyirmot FC;Gyirmot SE;Gyirmót SE;Gyirmót FC;Gyirmot;Gyirmot FC;Gyirmót;;GYIRMOT
Ungheria - NB II;Puskas Akademia;Puskas Academy;;Puskás Akadémia;Puskas FC Academy;Puskas Akademia;Puskás Fc;;
Ungheria - NB II;Kisvarda FC;Varda SE;;Kisvárda FC;Varda SE;;Várda Se;;
Ungheria - NB II;Bekescsabai Elore SE;Bekescsaba;;Bekescsaba Elore;Bekescsaba;;Békéscsaba;;
Ungheria - NB II;Balmazujvaros;Balmazujvarosi FC;;Balmazujvaros;Balmazujvaros;;Balmazújváros Sport;;
Ungheria - NB II;Soroksar;Soroksar;;Soroksar;Soroksar SC;Soroksar;Soroksár Sc;;
Ungheria - NB II;Dunakanyar Vac FC;Vac FC;;Vác FC;Vac FC;Dunakanyar Vac FC;Vác;;
Ungheria - NB II;Szeged 2011;Szeged 2011;;Szegedi AK;Szeged 2011;;Szeged 2011;;
Ungheria - NB II;Szolnoki MAV FC;Szolnoki Mav FC;;Szolnoki MAV;Szolnok;Szolnoki Mav FC;Szolnoki MÁv;;
Ungheria - NB II;Dorogi;Dorogi FC;;Dorogi FC;Dorogi FC;;Dorogi Fc;;
Ungheria - NB II;Mosonmagyarovar;MTE 1904;;Mosonmagyarovari;Mosonmagyarovari TE 1904;;Mosonmagyaróvári Te;;
Ungheria - NB II;BGSZ Siofok;BFC Siofok;;BFC Siofok;BFC Siofok;;Siófok;;
Ungheria - NB II;Zalaegerszeg;Zalaegerszegi TE;;Zalaegerszegi TE;Zalaegerszeg;;Zalaegerszegi Te;;
Ungheria - NB II;Nyiregyhaza Spartacus FC;Nyiregyhaza Spartacus;;Nyiregyhaza;Nyiregyhaza Spartacus FC;;Nyíregyháza Spartacus;;
Ungheria - NB II;Soproni VSE;Soproni VSE;;Soproni VSE;Soproni Vasutas SE;;Soproni Vse;;
Ungheria - NB II;Budaorsi SC;Budaors SC;;Budaorsi SC;Budaors;;Budaörs;;
Ungheria - NB II;Cegledi VSE;Cegledi VSE;;Cegledi VSE;Cegledi;;Ceglédi;;
